date,sha,profile,url,perf,seo,lcp_ms,fcp_ms,tbt_ms,cls,si_ms
2026-06-25T00:00:00Z,baseline,desktop,https://phlabs.co.uk/compound,0.94,1.0,1500,500,40,0,1200
2026-06-25T00:00:00Z,baseline,mobile,https://phlabs.co.uk/compound,0.65,1.0,3500,1100,900,0,5500
